Router,2014-06 Accepted,2014-06 Delivered,2014-07 Accepted,2014-07 Delivered,2014-08 Accepted,2014-08 Delivered,2014-09 Accepted,2014-09 Delivered,2014-10 Accepted,2014-10 Delivered,2014-11 Accepted,2014-11 Delivered
albq-cr5,51875681731352,220463038174782,63614027580971,368338653149032,69507091640475,186056163110431,127997676366169,201776320256583,1665207700648056,3338049106575426,234748624697549,279322973037338
ameslab-rt2,7415287947527,3577673385718,9923393639,3196342951515,71662981904211,45081396406936,0,0,0,0,0,0
ameslab-rt3,24352156890135,1438546335648,78604479900623,26898424876954,116327137325823,28573413314667,43351663133580,26975555564868,386125648921243,124196803025122,44062892332532,28778471461693
amst-cr5,0,0,0,0,0,0,0,0,34324658,23998163,3868215893,862897729
anl-mr2,111268135420202,129214950033314,121236453763612,135419998653879,140276638553731,145798247126456,127448552984165,146438153024471,2120900257796602,2439663328448797,150952037439124,179472800662025
aofa-cr5,1289455626678229,1459526824783475,1829405723421305,1902013256787720,2381610162737763,2330408127231615,2197659010453523,2060448765450531,21971288025044166,19160158554702886,2541924588037750,1847031460570449
atla-cr5,28184357571110,27864186436934,42291822333623,43984855753247,47128402699987,48548086891247,42266318811820,42822113359402,211556470220693,218496991244168,127292484323686,93955276704463
atla-sdn1,21753897087072,21135261648073,0,0,0,0,0,0,0,0,0,0
bnl-mr2,759025870640524,606082821926684,944228132887166,596451753120385,1080526170232508,768181324442409,1114510212866991,723347653412912,33221172907593728,23517009558542314,498210684809058,485760556858786
bnl-mr3,395803434347578,350003249548471,363640436439658,313909397484706,45501740219552,45177990785377,57157567424330,66966818696564,608300617267011,721109781047263,0,0
bois-cr1,24268937104714,123745694254988,31348999277267,136178317044488,77511648967771,98820695604912,115460435069560,149388197297796,1254019819879564,1877779619519060,176580920743536,201028381372257
bost-cr1,108650050887027,181743063431867,123182479240148,219719000196267,127770696703481,224382823000744,171478156816839,392193798268518,33781818544285,96052836330881,0,0
bost-cr5,0,0,0,0,0,0,0,0,83944329140497,256376785716862,182939012362768,287932440284413
cern-272-cr5,0,0,0,0,0,0,0,0,0,0,5743130891,2355963534
cern-513-cr5,0,0,0,0,0,0,0,0,2660704,0,54859625719422,40525318371599
chic-cr5,431571889485871,891191847748377,409253587136083,888561135317661,434960217762985,875613602493023,379792754623661,640388375769971,396341162160374,647290445203082,387202487308339,516419984169386
denv-cr2,5790600743,90682979530,5020111014,114273611066,5996605872,116232200913,10071380704,103792356640,122459811251,1295088350227,9987386419,153578546676
denv-cr5,218187844428988,453646310590830,265016001191876,209600678303927,206074234407173,184458273526805,211739538190291,178470635616181,1426593233332971,1932495094975946,203331784019122,192380138364086
dev-star-cr66,0,0,0,0,0,0,0,258250,0,0,0,0
doe-gtn-rt1,5637295948056,4823023115440,8731678757074,5131589758771,10753407538194,4759261586307,12163537948208,5858831136298,181924525771394,86774550015478,9743803202800,5308612035057
doe-nnsa-rt1,178711904306,449866147447,174543964577,411679297342,176895695964,421123582192,205102036119,503379820969,3365017666838,8084936159714,177453145852,197060727911
elpa-cr5,71555039824013,67343713279066,73715825433872,70259414258339,74885793200965,72126485166029,63602855121183,60743364127219,28491605052702,35583834326898,33412384628002,31820476298303
eqx-ash-rt1,284361742771275,116958955700316,273685505887456,150653876258709,255515529847768,186843997043512,257349923750662,206364436409796,5280016127118170,3299639908906007,342522501006788,418002670798922
eqx-chi-rt1,54957717958854,71392411292394,83524177399288,80510155660533,65727710277549,79304359788777,56177349363498,107538350631141,1652829189153817,2288974952262939,65656763202868,121777368580498
eqx-sj-rt1,203316056152037,122530433031490,171006310019400,152071780127365,149640927749430,178538623943136,131355874056578,162074094968456,3509996766826627,3593307130704743,110604730744646,170152777928440
fnal-mr2,1037533095295114,465332356813126,1254188500920983,582410715929127,1208695322313239,607306812616704,1133417336751566,799832490009081,4876985672558058,11976329611364584,903141126285769,758656812640007
fnal-mr3,253391174495115,32818364142569,250548640740769,32856478275523,152104918435684,33412545655063,157465595591326,25897839132097,1423297554217610,318281065034448,214095556022609,80749730238504
forr-rt1,9931407416180,8693023626661,10698278263787,9547429243501,9379730839472,9363965117835,10220066741129,8773005091124,138380482119111,122301823039324,8951805019542,9190190368022
ga-rt2,100263800220830,102947338334722,103443024470242,97723926182437,105930868609729,99509170679501,104368947149827,106782615041293,1201599943224211,1600444398912217,135970899967052,131259542171009
hous-cr5,177665858557719,195028325769919,174688455347867,191848711952175,186560407694816,204852704184831,177500208825668,189075487599252,142749047767909,263675956379813,560668922966934,610537320452915
jgi-mr2,226232607174807,123711588036595,214256108037762,125567151782784,224389184560735,121011298508085,216705993451058,120253724773647,774477594342363,461061123854923,193833308008083,142012873889524
kans-cr5,73292845220497,201870496250835,116256110075582,289768811124352,124021329821580,212464034163581,138047447119437,195925350979070,767394384092837,1222607853312374,70265324910912,187070453882696
lasv-rt1,7126680867279,5523697910136,6954030697850,5933974102782,6510326557011,7142919520411,6402040608046,6840065387382,125793448871389,113265129654056,4823544934261,8086180062129
lbl-mr2,201883672057677,225244697869542,256543943739835,275589379215162,264217697176862,279166186882903,237272441896432,251226252457825,1943072022597182,2004679993356706,264626336366196,270779692759155
llnl-mr2,226725542111666,380753230887734,239618376140859,377355761400674,218782995421065,258446101431307,216832515337889,327549002104596,6152887399663933,11502374948238002,326354719198049,353775477996367
llnldc-rt3,221824871717,74984315992,370046376827,102399076657,21639830087,105459313704,53352285255,288572913568,1237259839592,1005671528707,23915400955,64888124173
lond-cr5,0,0,0,0,0,0,0,0,0,0,3732673539,853744591
